province,month,year,month_of_year,hcl_emission,pcl_emission
新疆维吾尔自治区,12,1966,1,22051753473.975716,35847262143.80445
江苏省,12,1966,1,2140508430.224389,3590939788.4902844
江西省,12,1966,1,1143863543.4550734,1026016031.5130438
河北省,12,1966,1,5699674255.552051,5656186323.499304
河南省,12,1966,1,3795571781.997918,4108446223.1953025
浙江省,12,1966,1,744656293.9374027,491305096.49395895
海南省,12,1966,1,64719570.900415316,129452827.90651985
湖北省,12,1966,1,2814702816.989413,4047196437.190187
湖南省,12,1966,1,2473277223.162561,2068604705.1408505
甘肃省,12,1966,1,3608641412.623607,3919537153.657439
福建省,12,1966,1,393402572.9371302,229579418.5828243
西藏自治区,12,1966,1,7599866342.906227,17453229074.077915
贵州省,12,1966,1,1618264991.9605145,837005093.0523345
辽宁省,12,1966,1,2588745647.477438,3315944394.0129395
重庆市,12,1966,1,586622145.2053523,579727603.8445305
陕西省,12,1966,1,1833668622.9462435,1877831275.7594423
青海省,12,1966,1,1071478498.1960032,1155997635.5352046
香港特别行政区,12,1966,1,369224.56380510394,68636.08036546878
黑龙江省,12,1966,1,10402454337.47257,19108656378.06766
上海市,13,1966,2,16321887.658107525,1862191.9722990862
云南省,13,1966,2,2905388417.126393,3119212128.179318
内蒙古自治区,13,1966,2,13645741006.671167,19404868726.334656
北京市,13,1966,2,66825260.8615599,52412015.648570366
吉林省,13,1966,2,3145741357.2220545,5222972866.538254
四川省,13,1966,2,8085378545.945854,7258023537.648011
天津市,13,1966,2,38139650.30012715,38718018.280464984
宁夏回族自治区,13,1966,2,144650173.22810283,67799131.70376502
安徽省,13,1966,2,2866265765.3595176,3777486292.1383843
山东省,13,1966,2,4593217140.142573,6758793257.195536
山西省,13,1966,2,1594409049.9170249,868025089.7525551
广东省,13,1966,2,1620423800.0012796,1220100586.6200042
广西壮族自治区,13,1966,2,1587238612.4781027,1756410386.342781
新疆维吾尔自治区,13,1966,2,21064412998.38836,33949085503.967304
江苏省,13,1966,2,2116472242.3473744,3519502075.8052354
江西省,13,1966,2,1105459532.5649893,1005120590.1725061
河北省,13,1966,2,5272810163.53933,4998664271.483933
河南省,13,1966,2,3515724222.3795147,3540769860.8354335
浙江省,13,1966,2,782184239.9437649,580354807.5924995
海南省,13,1966,2,70045412.31981651,145831016.75369665
湖北省,13,1966,2,2562989900.7258053,3370289577.7872443
湖南省,13,1966,2,2340815518.51762,1870396608.3663237
甘肃省,13,1966,2,3607302460.3821926,3915447840.243787
福建省,13,1966,2,394521622.5234826,195505397.54432938
西藏自治区,13,1966,2,7692467563.886163,18009978398.10594
贵州省,13,1966,2,1648462279.6458578,957280511.8311287
辽宁省,13,1966,2,2537904513.800287,3282766025.328205
重庆市,13,1966,2,551803873.4346167,508557422.6134605
陕西省,13,1966,2,1762492970.5268984,1730178486.3206763
青海省,13,1966,2,1063030614.1576204,1142114437.3409207
香港特别行政区,13,1966,2,380497.77681477746,77545.6121999006
黑龙江省,13,1966,2,10235533183.096077,18735207931.90417
上海市,14,1966,3,14727434.527396545,1662556.9522142073
云南省,14,1966,3,3257866015.2054214,4267225444.8008327
内蒙古自治区,14,1966,3,13047366245.517014,22806211767.279804
北京市,14,1966,3,48229192.06647548,27518212.35048566
吉林省,14,1966,3,2200089301.0154634,3074427831.725644
四川省,14,1966,3,6849657004.074433,4901193371.770051
天津市,14,1966,3,27916053.673787363,18962662.75509105
宁夏回族自治区,14,1966,3,118196662.28204872,37220846.76874825
安徽省,14,1966,3,1896508093.4821424,1816733612.9970677
山东省,14,1966,3,3218529592.390814,3188833334.967857
山西省,14,1966,3,1232901952.2217875,578581762.7011594
广东省,14,1966,3,1556627848.7174978,1046624429.5928099
广西壮族自治区,14,1966,3,1443793685.2450702,1447680284.0255146
新疆维吾尔自治区,14,1966,3,13178094529.520092,18889028930.223392
江苏省,14,1966,3,1469410178.685834,1626477353.6178
江西省,14,1966,3,917555199.0806638,683630467.495141
河北省,14,1966,3,3689343425.3091507,2584435185.804617
河南省,14,1966,3,2662667769.7759814,1864867423.094757
浙江省,14,1966,3,673063532.9247475,372262048.31345135
海南省,14,1966,3,66013925.68537207,134981507.18451884
湖北省,14,1966,3,2000953936.279008,1909762108.3772466
湖南省,14,1966,3,1937273543.6417987,1176855995.6158538
甘肃省,14,1966,3,3082005045.3346457,2963140932.264393
福建省,14,1966,3,378755300.6767025,150191905.7007822
西藏自治区,14,1966,3,3357998574.1888576,7406772713.936836
贵州省,14,1966,3,1109983783.4037201,508540725.36955684
